,Brand Name,OS,Ram Type,RAM,Processor,GPU,Warranty,ScreenSize,DISK SIZE,Price
261,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,512,44990.0
262,Lenovo,Windows,DDR4,8,Intel,Others,2,,512,58000.0
263,Infinix,Windows,Others,8,Intel,Others,1,14.0,256,29990.0
264,ASUS,Windows,Others,16,AMD,Others,1,,1024,114990.0
265,HP,Windows,DDR4,8,AMD,AMD,1,15.6,512,33990.0
266,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,512,39990.0
267,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,1024,196990.0
268,ASUS,Windows,DDR4,16,AMD,AMD,1,15.6,512,64990.0
269,Lenovo,Windows,DDR4,16,Intel,Others,1,15.6,512,79990.0
270,Lenovo,Windows,DDR4,8,AMD,AMD,2,,512,38705.0
271,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,1024,85990.0
272,Infinix,Windows,Others,8,Intel,Others,1,14.0,256,28990.0
273,ASUS,Windows,DDR4,8,AMD,Others,1,15.6,512,56990.0
274,HP,Windows,DDR4,16,AMD,AMD,1,14.0,512,81990.0
275,MSI,Windows,DDR4,16,Intel,Others,2,15.6,1024,129990.0
276,Lenovo,Windows,DDR4,8,AMD,AMD,2,,512,35590.0
277,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,1024,150990.0
278,DELL,Windows,DDR4,8,AMD,Others,1,15.6,1024,38990.0
279,HP,Windows,DDR4,16,AMD,Others,1,15.6,1024,79990.0
280,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,256,36990.0
281,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,512,39990.0
282,APPLE,Mac,,8,Others,Others,1,,512,139990.0
283,ASUS,Windows,DDR5,16,Intel,Others,1,15.6,1024,109990.0
284,ASUS,Windows,DDR5,16,AMD,Others,1,,1024,154990.0
285,Lenovo,Windows,DDR4,16,Intel,Others,1,,512,62990.0
286,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,1024,194990.0
287,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,512,44990.0
288,ASUS,Windows,DDR4,8,Intel,Others,1,14.0,512,47990.0
289,DELL,Windows,DDR4,8,AMD,AMD,1,,512,43667.0
290,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,1024,135990.0
291,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,256,36990.0
292,ASUS,Windows,DDR5,16,AMD,AMD,1,,512,98990.0
293,Infinix,Windows,Others,16,Intel,Others,1,,512,46990.0
294,ASUS,Windows,DDR4,8,Intel,Others,1,,256,35990.0
295,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,512,39990.0
296,ASUS,Windows,DDR5,16,Intel,Others,1,15.6,1024,109990.0
297,APPLE,Mac,,8,Others,Others,1,,512,139990.0
298,DELL,Windows,DDR4,8,Intel,Others,1,,512,74770.0
299,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,512,39990.0
300,HP,Windows,DDR4,8,AMD,AMD,1,,512,40799.0
301,ASUS,Windows,DDR4,16,Intel,Others,1,15.6,512,69490.0
302,ASUS,Windows,DDR4,8,Intel,Others,1,14.0,512,39990.0
303,Lenovo,Windows,DDR4,8,AMD,AMD,2,,512,38705.0
304,ASUS,Windows,Others,16,AMD,AMD,1,,512,99990.0
305,APPLE,Mac,,16,Others,Others,1,15.6,1024,241990.0
306,acer,Windows,DDR4,8,Intel,Others,1,,512,40990.0
307,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,1024,196990.0
308,HP,Windows,DDR4,8,Intel,Others,1,15.6,512,60390.0
309,HP,Windows,DDR4,8,Intel,Others,1,15.6,1024,69990.0
310,ASUS,Windows,DDR4,8,Intel,Others,1,,256,44990.0
311,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,1024,85990.0
312,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,256,44990.0
313,HP,Windows,DDR4,8,Intel,Others,1,15.6,512,60390.0
314,ASUS,Windows,DDR4,16,Intel,Others,1,15.6,512,69490.0
315,HP,Windows,DDR4,8,AMD,AMD,1,,512,40799.0
316,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,512,39990.0
317,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,512,39990.0
318,HP,Windows,DDR4,16,AMD,AMD,1,,512,55990.0
319,Lenovo,Windows,Others,16,Intel,Others,1,,512,74990.0
320,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,1024,196990.0
321,Lenovo,Windows,DDR4,8,AMD,AMD,2,,512,38705.0
322,HP,Windows,DDR4,8,Intel,Others,1,15.6,1024,69990.0
323,ASUS,Windows,DDR4,8,Intel,Others,1,,256,44990.0
324,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,1024,59990.0
325,APPLE,Mac,,16,Others,Others,1,15.6,512,222990.0
326,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,1024,85990.0
327,Lenovo,Windows,DDR4,8,AMD,AMD,2,,512,35590.0
328,DELL,Windows,DDR4,8,Intel,Others,1,,512,74770.0
329,ASUS,Windows,DDR5,16,Intel,Others,1,15.6,1024,109990.0
330,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,1024,150990.0
331,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,256,36990.0
332,acer,Windows,DDR4,8,AMD,AMD,1,,512,62990.0
333,acer,Windows,DDR4,8,Intel,Others,1,,512,40990.0
334,MSI,Windows,DDR4,8,Intel,Others,2,15.6,512,58499.0
335,Lenovo,Windows,DDR4,8,Intel,Others,1,15.6,1024,65990.0
